Topic 0:
-----------------------
plug (180): 0.0117001
averag (11): 0.0106471
kinda (126): 0.00546829
principl (186): 0.00546829
pair (165): 0.00502539
find (76): 0.00458248
plus (181): 0.0042249
look (137): 0.00311118
mean (143): 0.0027356
blackboard (17): 0.000519618
common (32): 0.000519618
cds (28): 0.000519618
band (16): 0.000519618
cool (37): 0.000519618
backward (15): 0.000519618
appli (8): 0.000519618
anim (7): 0.000519618
wrote (299): 0.000519618
worri (297): 0.000519618
work (296): 0.000519618

Topic 1:
-----------------------
<s> (1): 0.161888
</s> (0): 0.134353
omega (160): 0.129284
two (278): 0.0284675
time (262): 0.0251959
shift (216): 0.0237579
minus (144): 0.0199395
integr (115): 0.0193165
cosin (39): 0.018148
frequenc (82): 0.0144343
transform (270): 0.0142528
infin (109): 0.0110662
sub (238): 0.00983283
multipli (150): 0.00917737
equal (66): 0.00911478
plus (181): 0.00760934
domain (53): 0.00727385
pi (177): 0.00627766
fourier (81): 0.00536864
properti (189): 0.00504676

Topic 2:
-----------------------
appli (8): 0.000657009
wont (295): 0.000657009
backward (15): 0.000657009
blackboard (17): 0.000657009
can't (22): 0.000657009
unintellig (279): 0.000657009
anim (7): 0.000657009
current (41): 0.000657009
band (16): 0.000657009
carrier (25): 0.000657009
class (30): 0.000657009
abl (2): 0.000657009
cds (28): 0.000657009
care (24): 0.000657009
away (12): 0.000657009
tomorrow (266): 0.000657009
wrote (299): 0.000657009
worri (297): 0.000657009
work (296): 0.000657009
what (294): 0.000657009

Topic 3:
-----------------------
exam (69): 0.00517369
sinusoid (226): 0.00491125
integ (114): 0.00491125
chapter (29): 0.00472505
total (269): 0.0039142
write (298): 0.00386954
we'll (290): 0.00375154
blackboard (17): 0.000567969
band (16): 0.000567969
common (32): 0.000567969
cool (37): 0.000567969
backward (15): 0.000567969
appli (8): 0.000567969
anim (7): 0.000567969
unintellig (279): 0.000567969
worri (297): 0.000567969
carrier (25): 0.000567969
tell (253): 0.000567969
wrote (299): 0.000567969
work (296): 0.000567969

Topic 4:
-----------------------
</s> (0): 0.170524
<s> (1): 0.14457
squar (231): 0.0510675
energi (64): 0.0497183
signal (220): 0.0389735
total (269): 0.0223752
power (183): 0.0223752
fourier (81): 0.0218037
talk (251): 0.0173613
magnitud (141): 0.0111581
time (262): 0.0105442
transform (270): 0.0100586
integr (115): 0.00795689
it (123): 0.00778175
equal (66): 0.00763715
thing (261): 0.00742763
capit (23): 0.00698149
finit (78): 0.00695003
theorem (258): 0.00695003
triangl (272): 0.00642033

Topic 5:
-----------------------
appli (8): 0.000657009
wont (295): 0.000657009
backward (15): 0.000657009
blackboard (17): 0.000657009
can't (22): 0.000657009
unintellig (279): 0.000657009
anim (7): 0.000657009
current (41): 0.000657009
band (16): 0.000657009
carrier (25): 0.000657009
class (30): 0.000657009
abl (2): 0.000657009
cds (28): 0.000657009
care (24): 0.000657009
away (12): 0.000657009
tomorrow (266): 0.000657009
wrote (299): 0.000657009
worri (297): 0.000657009
work (296): 0.000657009
what (294): 0.000657009

Topic 6:
-----------------------
omega (160): 0.0473716
frequenc (82): 0.0398794
number (157): 0.03156
infinit (110): 0.0281179
go (87): 0.0281179
we'r (291): 0.0257978
real (194): 0.0147193
take (249): 0.0143582
infin (109): 0.0125056
fundament (84): 0.0124239
naught (151): 0.0119998
limit (134): 0.0116989
capit (23): 0.0102488
formula (80): 0.00825856
time (262): 0.00774052
way (289): 0.00749179
say (208): 0.00651844
that (257): 0.00571084
equal (66): 0.00516124
unit (280): 0.00500397

Topic 7:
-----------------------
sub (238): 0.00445407
capit (23): 0.00339523
appli (8): 0.000630974
backward (15): 0.000630974
blackboard (17): 0.000630974
wont (295): 0.000630974
unintellig (279): 0.000630974
anim (7): 0.000630974
cool (37): 0.000630974
band (16): 0.000630974
common (32): 0.000630974
cds (28): 0.000630974
can't (22): 0.000630974
caus (27): 0.000630974
case (26): 0.000630974
tell (253): 0.000630974
wrote (299): 0.000630974
worri (297): 0.000630974
work (296): 0.000630974
what (294): 0.000630974

Topic 8:
-----------------------
appli (8): 0.000657009
wont (295): 0.000657009
backward (15): 0.000657009
blackboard (17): 0.000657009
can't (22): 0.000657009
unintellig (279): 0.000657009
anim (7): 0.000657009
current (41): 0.000657009
band (16): 0.000657009
carrier (25): 0.000657009
class (30): 0.000657009
abl (2): 0.000657009
cds (28): 0.000657009
care (24): 0.000657009
away (12): 0.000657009
tomorrow (266): 0.000657009
wrote (299): 0.000657009
worri (297): 0.000657009
work (296): 0.000657009
what (294): 0.000657009

Topic 9:
-----------------------
dc (43): 0.00574121
part (168): 0.00457013
power (183): 0.00401634
real (194): 0.00339905
blackboard (17): 0.00060542
backward (15): 0.00060542
appli (8): 0.00060542
current (41): 0.00060542
band (16): 0.00060542
carrier (25): 0.00060542
class (30): 0.00060542
anim (7): 0.00060542
unintellig (279): 0.00060542
wont (295): 0.00060542
away (12): 0.00060542
tell (253): 0.00060542
wrote (299): 0.00060542
worri (297): 0.00060542
work (296): 0.00060542
what (294): 0.00060542

