Topic 0:
-----------------------
input (113): 0.0115766
duti (59): 0.0115766
right (206): 0.00721871
time (262): 0.00388804
blackboard (17): 0.000757745
backward (15): 0.000757745
appli (8): 0.000757745
current (41): 0.000757745
band (16): 0.000757745
care (24): 0.000757745
class (30): 0.000757745
anim (7): 0.000757745
work (296): 0.000757745
worri (297): 0.000757745
away (12): 0.000757745
what (294): 0.000757745
version (285): 0.000757745
wrote (299): 0.000757745
unintellig (279): 0.000757745
wont (295): 0.000757745

Topic 1:
-----------------------
<s> (1): 0.185168
</s> (0): 0.180327
shift (216): 0.0632525
omega (160): 0.0544665
transform (270): 0.0351686
sub (238): 0.0288135
frequenc (82): 0.0262378
multipli (150): 0.0208868
fourier (81): 0.0179113
time (262): 0.0176999
cosin (39): 0.016492
properti (189): 0.0162624
domain (53): 0.0162624
right (206): 0.0137298
modul (147): 0.013323
there (259): 0.0125682
thing (261): 0.00976652
mean (143): 0.00976652
scalar (209): 0.00856095
left (131): 0.00856095

Topic 2:
-----------------------
appli (8): 0.000854789
worri (297): 0.000854789
carrier (25): 0.000854789
band (16): 0.000854789
cds (28): 0.000854789
work (296): 0.000854789
anim (7): 0.000854789
current (41): 0.000854789
backward (15): 0.000854789
can't (22): 0.000854789
blackboard (17): 0.000854789
calcul (19): 0.000854789
class (30): 0.000854789
care (24): 0.000854789
away (12): 0.000854789
what (294): 0.000854789
vertic (286): 0.000854789
wrote (299): 0.000854789
version (285): 0.000854789
wont (295): 0.000854789

Topic 3:
-----------------------
squar (231): 0.0789818
magnitud (141): 0.0749848
capit (23): 0.0457321
period (173): 0.0404897
part (168): 0.0389802
say (208): 0.0245647
correspond (38): 0.0204854
power (183): 0.0176481
real (194): 0.0173656
time (262): 0.0172865
talk (251): 0.0161133
infin (109): 0.0155302
equal (66): 0.0148674
fourier (81): 0.014374
compon (34): 0.0118357
complet (33): 0.0118357
parsav (166): 0.0118357
sum (241): 0.0111421
negat (152): 0.0108089
averag (11): 0.0108089

Topic 4:
-----------------------
frequenc (82): 0.0686458
omega (160): 0.0673813
number (157): 0.0537258
infinit (110): 0.0473068
we'r (291): 0.0442695
go (87): 0.036967
real (194): 0.0265119
capit (23): 0.0257785
take (249): 0.0246753
fundament (84): 0.0210302
naught (151): 0.0205416
we'll (290): 0.0200132
limit (134): 0.0195246
infin (109): 0.0170716
integ (114): 0.0147308
formula (80): 0.0139373
way (289): 0.0125092
time (262): 0.0115092
unit (280): 0.00821519
continu (36): 0.00821519

Topic 5:
-----------------------
appli (8): 0.000854789
worri (297): 0.000854789
carrier (25): 0.000854789
band (16): 0.000854789
cds (28): 0.000854789
work (296): 0.000854789
anim (7): 0.000854789
current (41): 0.000854789
backward (15): 0.000854789
can't (22): 0.000854789
blackboard (17): 0.000854789
calcul (19): 0.000854789
class (30): 0.000854789
care (24): 0.000854789
away (12): 0.000854789
what (294): 0.000854789
vertic (286): 0.000854789
wrote (299): 0.000854789
version (285): 0.000854789
wont (295): 0.000854789

Topic 6:
-----------------------
omega (160): 0.257315
<s> (1): 0.090253
two (278): 0.0622459
minus (144): 0.0601695
</s> (0): 0.058894
infin (109): 0.058272
integr (115): 0.0542162
equal (66): 0.0505245
time (262): 0.0255418
pi (177): 0.0248856
write (298): 0.0216074
that (257): 0.0186081
cosin (39): 0.0153793
zero (301): 0.0113443
plus (181): 0.0111126
find (76): 0.00792633
orthogon (163): 0.00792633
came (21): 0.00792633
back (14): 0.00652214
way (289): 0.00634137

Topic 7:
-----------------------
appli (8): 0.000854789
worri (297): 0.000854789
carrier (25): 0.000854789
band (16): 0.000854789
cds (28): 0.000854789
work (296): 0.000854789
anim (7): 0.000854789
current (41): 0.000854789
backward (15): 0.000854789
can't (22): 0.000854789
blackboard (17): 0.000854789
calcul (19): 0.000854789
class (30): 0.000854789
care (24): 0.000854789
away (12): 0.000854789
what (294): 0.000854789
vertic (286): 0.000854789
wrote (299): 0.000854789
version (285): 0.000854789
wont (295): 0.000854789

Topic 8:
-----------------------
exampl (70): 0.0101307
domain (53): 0.00929065
appli (8): 0.000805458
carrier (25): 0.000805458
band (16): 0.000805458
trick (273): 0.000805458
worri (297): 0.000805458
anim (7): 0.000805458
current (41): 0.000805458
backward (15): 0.000805458
can't (22): 0.000805458
blackboard (17): 0.000805458
cds (28): 0.000805458
class (30): 0.000805458
care (24): 0.000805458
away (12): 0.000805458
wont (295): 0.000805458
vertic (286): 0.000805458
wrote (299): 0.000805458
work (296): 0.000805458

Topic 9:
-----------------------
